,num,text
56,1,осторожно новый некачественный личный низко стандартный настоящий обратный обратный напрямую торговый далеко тотже пока бдительный зеркально старый русский равный конецконкретный некачественный очень популярный страшный несимметричный изнутри синий белый отдельный общий сразу дома высоко
57,1,ранее согласный внимательный ужасный
58,1,добрый добрый очень долго вечно
59,1,дважды верно должный странный личный долгий злосчастный повторно вдвое дорого должный сначала прошлый долго
60,1,должный последний
61,1,последний некачественный срочно нужный совершенно жадный бессовестный последний односторонний публичный общий новый однозначно
62,1,денежный верно возврат постоянный совершенный сегодня
63,1,последний предварительный аккуратно
64,1,обратно вышеуказанный должный денежный обратно указанный добровольный денежный дурацкий должный снова последний честно
65,1,ланский несмотря рабочий функциональный агрессивный скоро должный
66,1,разный личный сразу личный должный
67,1,письменно одноименный указанный также полно обратно
68,1,новый сначала последний многий малый далее онлайн предварительно неправильно вложенный равный неправильный идеально милый
69,1,последний затем отрицательный стандартный ужасный
70,1,новый платный далеко скоро новый лояльный пока
71,1,указанный должный дополнительный точно
72,1,негативный соседний поздно следующий пусто немного ведомо парковый вразумитильный впредь также
73,1,возможный мятый домой рядом сплошь рядом пьяный
74,1,торговый бракованный сразу домой должный обратный сначала денежный активный задний
75,1,негативный сразу сразу новый старый негативный огромный
76,1,давно успешно несколько главный стандартный живой толком крупный вообще менее разный сегодня ныне получилазамкнутый давно дорого непонятно динственный адекватный стандартный конкретный
77,1,чудесный нужный большой выборный домуобязательно подарочный общий мало должный избранный пока расчудесный пусто плохо пока
78,1,пресловутый недоставленный населениядостойный обратно пока недоработанный бонусный очень нечистоплотный
79,1,денежный судя многочисленный личный электронный крайне вообще живой
80,1,серьезный мелкошулерский вообще реально
81,1,обратный пустой
82,1,долго личный достаточно личный домой кодзлый снова
83,1,вообще помятый давно
84,1,постоянный последний кардинальный ранее часто негативный пока особо стандартный далеко кратко большой неприятный равный далее испорченный дорогой ранее аккуратно дальнейший некачественный различный испорченный должный повторно заранее снова испорченный должный несколько стандартный важный однажды недовольный рано
85,1,крайний сразу сегодня толковый херовый
86,1,
87,1,несколько целый правильно беспроблемный прошлый примерочный нужный кардинальный плохой пока гладко ровно обратный полный жалко
88,1,последний несколько детский нужный высоко критично приятный вообще пустой далее горячий реальный должный сразу сразу завтра
89,1,пока бракованный новый неприятный сразу денежный
90,1,последний большой заранее чужой отвратительный
91,1,следующий дежурный отмазкий сразу печально последний дорого счастливый
92,1,плохо нужный трикотажный нужный неизвестный
93,1,картонный нужный подобный цензураточно откровенный тупо
94,1,никой электронный всячески праздничный видимо возврат нужный интересный попросту срочно полный
95,1,случайно ранее онлайн лк постоянно
96,1,постоянно пока бракованный попрежнему новый формальный реальный обратный
97,1,заранее электронный никаког
98,1,курьерский точный точный дома неправильный личный следующий следующий готовый следующий платный самовывозбесплатно сегодня курьерый готовый нормальный личный полный
99,1,единственный огромный чудовищный
100,1,последний отстойный вовсе верно видимо отвратительный хамоватый вечно недовольный наверное часто постельный хлипкий похожий давно общий отвратительно вечно недовольный ранее видетелихорошо большой онлайн большой хороший
101,1,тен некачественный ранее последний хамский
102,1,недельный примерно сбой скоро вообще тихий интересный сначала крайний вообще крупный должный бездарный тупо банально
103,1,видимо очень неприятно постоянный подобный недопустимый постсоветский наглый правильно недобросовестный наглый очень скоро некачественный тридорого
104,1,добрый постоянный удобный реальный дешевый мощный
105,1,правоохранительный безобразно
106,1,известный ранее московский далее уверенный космический очень хороший недавний часто слишком
107,1,температурный электронный сервисный сервисный оригинальный
108,1,назад вайлберриз собственный ведомо пока пока обворованый оболганый
109,1,очень близкий проточный бракованный следующий сервисный
110,1,постоянный постоянный вообще недавно мокрый целлофановый хороший рано аналогичный синий стандартный личный личный царский белый высокий постоянный
111,1,большой важный маленький дорогой
112,1,примерно бракованный
113,1,нормальный давно
114,1,хороший хороший низко бумажный дополнительно маленький полиэтиленовый зря судя десятый почерный дорогой дорогостоящий дешево безусловно
115,1,добрый осторожный
116,1,еле наверное крайний бегом
117,1,
118,1,радостно предварительно подозрительно д3виноват номальный пока
119,1,хороший сегодня негативный назад долго голубой размерный прошлый очень давно великоватый примерно мол дома сегодня нагло большой видимо возможно очень белый легко завтра
120,1,личный готовый вообще верный никогдаааа похожий сильный жесткий проблемный
121,1,хамский лично наплевательский
122,1,магнитный нетмагазин
123,1,назад примерно длительный далее письменный
124,1,честно очень положительный объемный известный длительный постоянный кровный ягодный действительно ценовой реально лично недавно моторный японский магазинный дурно очень лаковый несмотря многий низкий хороший удобный недавно народный выгодный любезный возмутительный унизительный последний случайно неприятный профилактический невозможный наверное платный немного неприятный неплохой плохой
125,1,внутрь
126,1,курьерский
127,1,достаточно давно хороший недавний очень неудобный вообще сразу последний тутто очень неудобный последний должный должный сразу далее рабочий должный постоянно далее отдельный технический возможный скоро искренне связанный видимо вообще вообще далеко технический вчера очень уверенный скоро настоящий часто ранее близкий гневный гораздо хороший
128,1,сразу досудебный сначала вчера
129,1,сначала ранее дешево очень затем беспроводный китайский ювелирный дешевый
130,1,курьерский часто сегодня поздно видимо злой вообще ужасный курьерский
131,1,ранее прекрасный ровно хороший вразумительный электронный автоинформаторомпротивно честно близкий вообще ясно нормальный обратный общий ныне партнерский общий досудебный дальнейший
132,1,успешно хороший дополнительный мутный настоящий долгий бюрократический почтовый дурацкий постоянно известный плохой серьезный налоговый впереди
133,1,товарапо совершенно уникальный назад обратно
134,1,ужасный ужасный
135,1,обратный личный вообще длинный
136,1,бесплатный новый откровенный дальнейший старый
137,1,знакомый продуктовый реальный последний размерный огромный удобно домой качественный ношеный неотъемлемый редко достойный плохо несметный плохо последний изредка последний платный внаглый тяжело платный платный общий искренне необоснованно далеко высокий внаглый хороший
138,1,добрый дорогой короткий откровенный назад следующий постоянно интересный спонтанно очень часто неполный разный наверно неполный автоматический бессмысленный виноватый должный должный неполный нужный целый разный фотографовпочий вообще должный буквально пустой возможный откровенно очевидный советуюнаверно
139,1,сразу чистый мутный
140,1,магазиномпервый быстро часто выше красный справа заветный дешево реально дешево сразу корректный корректный вообще дешево дешевый комфортно рядом назад бракованный надолго личный пока последний скидочный зеленый рано довольный
141,1,последний разный конкретно проплаченный заранее вовремя нормально заранее далее парфюмированный проплаченный пока нижний хороший отрицательный плохой хороший хороший низкий плинтусанормальный общий качественный удобный дешевый
142,1,недавно качественный бесплатно низкий неподходящий очень часто верхний верхний торговый важный предыдущий дорого
143,1,ранее высокий длинный сложно многий святой уверенный должный жесткий мочь достаточно быстро торговый гораздо далекий срочно очень очень просто однажды важный вовсе вовсе виноватый китайский важный однажды большой быстро нестандартный нужный следующий прямо домой отлично приемлемый большой счастливый настоящий дома уютный лениво указанный практически безошибочно быстро почетный максимальный личный бывший почемуто нужный активно далеко плохо действительно личный кстати жутко неудобный непонятный наоборот буквально постоянный личный затем максимальный личный накопительный личный сначала постоянный новый постоянный равный равный мало рано бесплатный быстрый срочно недавно шишечный давно кстати неприятный возможный пупырчатый недобросовестный равный лично гораздо редко последний завтра завтра завтра вообще последний призрачный также очередной неприятный также спокойно осторожный последний
144,1,настоящий брендовый дешевый китайский известный жуткий брендовый очень кожаный кожаный огромный понятно ужасно долго подругому вообще обыкновенный зко свободный модный стильный преимущественно серебряный швейцарский модный оригинальный настоящий модный лично пока довольно лично несомненно примерочный хозяйский персональный качественный дорогой приятно собственно серьезный дьявольский известноприятный настоящий серебряный
145,1,новый постельный спальный рано
146,1,добрый уважаемый рано хороший видимо очень знаменитый рано крутой особо вчера давно равный видимо лично
147,1,успешно сегодняшний трудный видимо сегодня немного погодя давно общий истерически стандартный общий дебильный нужный очень ручной дурацкий нужный нужный сначала действительно общий виноватый
148,1,точно старый поздно электронный изза несмотря хороший
149,1,достаточно тщательно удобный достаточно давно однажды некачественный лишний личный последний общий наиболее близкий личный общий примерно достаточно просторный картонный постоянно электронный доступный здорово выдачиный личный товаровинтересный вообще естьсегодня снова автозаводский поштучно тудаобратно низкий отдельный несколько фактически непрозрачный личный электронный личный новый возможный сложно вообще реально личный нормальный электронный общий
150,1,дважды прошлый близкий очень важный вовремя нужный изначально полностью большой маленький правильный далеко непонятный сначала международный женский наверное вообще очень очень выгодный маленький личный задерживаетсязатый мягко простонапросто вообще окончательно достаточно быстро денежный абсолютно
151,1,взамен старый осенний черный следующий соседний прекрасно маленький дубовый черный синий ярко синий черный кстати впору мягкий хороший старый весьма огромный схожий новый черный нужный бесконечно вообще
152,1,добрый позавчера знакомый вчера кстати дняхконечный высоко равный далеко также долго точно точно денежный
153,1,вайлдберризизначальный сначала намного необходимый разный отдельный большой назад постоянно платный бесплатный постоянно очень удачно новый маленький выгодно особенно обычный известный белорусский менее приемлемый неизвестный ужасный тонкий низкий средний ценовый розничный особенно региональный небольшой населенный очень большой размерный взрослый максимальный ювелирный сувенирымелкий бытовой стиральный детский высоко розничный высокий постоянный большой розничный выгодно последний бурно крупный очень близкий черный черный значительно особенно сразу сразу семейный бракованный
154,1,уважаемый давно часто заранее личный рано сегодняшний высокий надежный последний странный недопустимый нужный обратный вразумительный небольшой намного высокий электронный должный разный нормальный пока личный скоро новый праздничный обязанностейтакже праздникикакий обязательный предварительный счетахсейчас новый большой ежегодно естественно назад большой внимательно дорогой новый
155,1,последний окончательно ребенок очень приемлемый дешевый также бесплатный пока малый быстро насколько возможный отдаленный затем лично сложно противоречивый зачастую редко основной детский большой неудачно вообще соответственно постоянный ненадлежий виденесколько домавот дважды большой ежедневный многий довольно высокий общий целый рано расстатьсянесмотря приличный постоянный прилично максимальный рано дополнительный утомительный нужный очень неприятный последний нужный значительно бесплатный чересчур рано значительно окончательно
156,1,разный разный разный
157,1,давно рано обратно жестко рано прямо торговый виноватый самостоятельно общий обогащениисейчас вовсе ранее невиданный домой серьезно недовольный ныне вообще недовольный живой человеческий пока
158,1,давно далеко важный сначала личный очень выгодно внимательно размерный нужный любимый драгоценный торговый высоко низко обычный демосезонный несмотря соблазнительный фирменный несмотря распродажавообще очень выгодный грамотный отлично съэкономитьвот старший платьеприятный активный сначала веселый естественно полностью рано сначала полный неподлежащий радостно неделюв навсегда внятно старый интересный обычный многий потенциальный конкретно
159,1,относительно недавно быстрый московский близкий следующий плохо большой бесплатный вощвратный дорогой московский большой умелый готовый положительный обычный зачастую бракованный испорченный невозвратный многий обратно конечный виновный выше многий возвратный домой конечный вообще большой стандартный дешевый зачастую грязный помятый опрятный конкретно целый чернозеленый грязный чистый очень сильно грязный дешевый явный тамкак высоко
160,1,сегодня купплен детский сегодня случайно полноценный виртуальный неприятный
161,1,очередной массово пустой денежный нечестный новый правильно четко доступный кстати абсолютно непонятный маленький особо доступный определенный учетный практически невозможный новый нечестный
162,1,бесплатный наличный нужный отличный желанный кредитный вообще реально возвратзатый
163,1,добрый рано часто вайлдберризсейчас редко платный прошлый нормально мало скоро пока обратный новый естественно быстро высокий новый точно удачный полезный
164,1,обратно плохо плохо полный очень долго назад быстрый разный единый часто последний резкий огромный
165,1,добрый очень удобный полный свободный платный периодически гораздо удобный временной плохо плохо хамоватый терпеливыйнесколько хороший обычный тонкий прозрачный целлофановый воздушный хороший вообще молчузаказанный поношенный новый грязносерый откровенно поношенный кстати белый единичный однажды разный бракованнымиестественно поношенный недовольный обратно новый виноватый должный бесконечный выкупапрошлый личный давно наоборотно последний
166,1,сразу аховый выгодно наоборот максимальный постоянный постоянный жестко практически также кардинальный вначале высоко затем далеко личный ежедневно постоянный видимо генеральный подпольный мизерный вообще полный дорого бесплатный элементарный чистый полный дешево недавний должный собственный распределительный правильно текущий большой новый массовый выгодный богатый видимо долларовый окончательно чужой безграничный буквально проверенный мобильный новый несуразный неудобный положительный летний совершенно знакомый ненадолго
167,1,примерно назад реально очень практически торговый очень давно плохой вместе старый старый запросто часто практически ежедневно многий вообще практически далее новый мгновенно часто наверно значительно рано предварительно сегодня выгодно уважаемый редко знакомый редко
168,1,когдатый любимый лояльный низко адекватный резко большой пятно денежный несколько следующий общий далеко часто благополучно назад рано косо сильно новый многий активный хитро шаблонный маленький сильно полный новый должный мощный битый равный немалый сразу нервный интересный общий новый несколько российский популярный китайский маленький явно видный китайский русский должный слишком спокойно домой следующий торговый обратный независимо минимальный торговый постоянно затем шаблонный немного внятный вообще законный также обратный должный денежный должный неправильный неправильно последний заранее специально доверчивый равный очередной шаблонный торговый интересный далеко честно некомпетентный снова торговый обратный зависимый вообще кринжовый новый должный пока долгожданный технический напрямую ныне общий насколько правомерный компетентный необходимый конкретно горький несправедливо законный больно неправильный здорово клиентоориентированный кстати низкий
169,1,очень неприятный сортировочный сегодня пешком позавчера далеко нужный очень беспроцентный сегодня солидный международный
170,1,уважаемый любимый постоянный максимально возможный личный накопительный злосчастный полностью негласно удивительный личный невнятный избирательно интересный клиентский накопительный личный максимальный большой настоящий любимый личный плачевный изрядно частично спортивный вовсе ошибочный сразу противный самостоятельно неопределенный соответственно обратно крайне неудобный ранее несколько спокойно денежный также пунктуальный значительный частый хороший бонусный следующий внимательный достойный бесплатный отличный последний
171,1,приличный полный детский собственно нужный большой приятный пошлый прочий дурацкий адекватный белый разноцветный отлчно совершенно смешной мысленно итальянский нужный указанный торжественно вообще совершенно спокойно страшный заново заново феерический знасительный совершенно личный
172,1,давно гладко практически недавно также совершенно нижепонятно недостаточно простой путаницаодновременно снова обычный постоянно следующий недовольный обратно бракованный неправильно снова очередной наглядно совершенно безразлично должный очевидный наоборот ужасный очень банковский заранее многий высоко сразу вполне
173,1,наверно очень вежливый вовремя назад снова очень многий разный целый также пожизненно низкий неблагонадежный сразу правильный классно общий изначально удобный постоянно очень долго видимо большой рано постоянный
174,1,заказакак обязанный удобно обязательно очень долго изначально быстро домой помятый интуитивно похожий точно нужный правильно снова правильно правильно очень странно новый постоянно разный разный очень неудобнотакже очень выгодный некачественный регулярно часто неадекватныетакже примерно очень долгоеще случайно случайно заново ужасный
175,1,сегодня известный очередной преспокойно непонятный естественно также стандартный ненужный естественно сразу явный кредитный крайний также большой адекватный также осторожный
176,1,сегодня частенько менее интересно хороший рано готовый вообще ужасно реально очень каждоепринципиально ранее любимый удобный меньший примерочный домой соответственно возврат личный целый следующий игноритный обратно постоянный сразу домой
177,1,очень серьезный опрометчивый жалко качественный вечный долго просто братиславский личный немного очень зря дома сразу пригодный сильно большой личный назад должный личный бесполезно близкий деловой
178,1,близкий платный бесплатный должный недельный личный очень размытый неточный специальноникакий сразу должный новый старый неправомерный личный платный публичный личный сразу моментально сразу должный несмотря подобный сразу платный очень похожий крупный
179,1,давно несанкционированный рано классный огромный редко жизнидешево дешевый вещирезиновый домашний плохо дальнейший сложный нелогичный часто доступный зачастую сильно большой дополнительный вообще знакомый дальнейший сильно сильно целый ясно закрытый неприятный последний несанкционированный четкий сильно
